"sub_service","count"
"shipment",2622519
"topup_bank",11739
"commission",10387
"payrolltopup",8261
"promotion",3768
"topup_scb",1970
"feecommission",1284
"transfer_bankscb",1056
"transfer_bank_scbpayment",794
"topup_kbank",579
"topup_ktb",401
"payment",327
"topup_bbltopup",266
"topup_kbanktopup",205
"transfer_out_sbm_sbm",141
"topup_bbl",122
"transfer_in_sbm_sbm",109
"prepaid_ais",107
"special_topup",84
"dry_sabuywash",50
"wash_sabuywash",33
"pay",28
"refundsettlement",15
"transfer_in_sbm_kex",7
"first_installment",7
"sabuycounter",4
"pos_selloncash",3
"activities",2
"topup_bay",2
"credit",2
"sbm_dlink",1
"topup_scbqr",1